reference,asset,beta,eg_pvalue,adf_pvalue,kss_stat,observations,score
NaturalGas,BankOfAmerica,0.16631482204080827,0.06194968113354473,0.07175385058143298,-3.846622248500955,6377,0.5183657565650732
VIX,Gold,0.011300248858686393,6.638289150864625e-07,0.013654576153056982,-5.095804689595381,6373,0.5232357089415102
NASDAQ,HomeDepot,49.499419672903976,0.08067838052960047,0.004324471876675975,-4.399910590259467,11180,0.5249939114322232
NextEraEnergy,Chevron,0.44475740158536686,0.09777314604618448,0.06341445580459265,-3.7081912501991665,13349,0.5320067268706938
LindeGroup,NASDAQ,0.02206790820368338,0.01210418432321486,0.003518467506377174,-5.250606386280123,8465,0.5406832904576043
JohnsonJohnson,CocaCola,2.5931002633542573,0.009423981223714047,0.006286660526647393,-5.270167904689922,16128,0.5427274322193536
Amazon,HomeDepot,0.508432115479218,0.0024323634156881682,0.01157277529244291,-5.305753635202972,7223,0.5445805022284282
Microsoft,HomeDepot,0.995305063356829,0.02120403639663584,0.012583417178498535,-5.143335573336506,10049,0.548121010908785
Chevron,JohnsonJohnson,0.8372073852029673,0.0064696695864759225,0.0014055840488883054,-5.405864471458798,16128,0.548461700781244
LindeGroup,Amazon,2.0887955556904436,0.04921130090735515,0.020685970683760883,-4.801179345657609,7223,0.5500152061568768
NASDAQ,LindeGroup,43.722100626210164,0.021420672165044594,0.002606294790321953,-5.289275689893914,8465,0.552954535944758
Boeing,Chevron,1.7728817947734214,0.08176888327292486,0.026377252788330106,-4.454259253735989,16128,0.5535720614348539
CocaCola,JohnsonJohnson,0.3758264244262805,0.004183679772482566,0.00220993259915108,-5.522458334256889,16128,0.5586394457973225
Russell2000,CocaCola,36.908380823705464,0.0001719369248720433,3.5575056735566526e-05,-5.6511344632223,9671,0.5653209583038377
NaturalGas,VIX,0.188738858362464,0.07762881775882745,0.00015384898134025173,-4.885645030636187,6377,0.5663471698037864
HomeDepot,NASDAQ,0.01960219320370896,0.032645946729561504,0.004086480777292188,-5.335443091955444,11180,0.5702767367023981
Amazon,LindeGroup,0.44192013289341203,0.05766275695370877,0.05780256418658578,-4.556498519988943,7223,0.5711151731391888
HomeDepot,LindeGroup,0.8721195411908506,0.06559265475922457,0.018086392861569992,-4.890317951424961,8465,0.5727108427632907
